epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7664,4.66141,6.67797,4.18534,0.00132,0.17647,0.00092,0.00046,4.56772,4.49182,4.15856,4e-05,4e-05,4e-05
2,45.7524,4.69959,5.7717,4.20036,0.0014,0.17647,0.0012,0.0005,4.56774,4.49245,4.1578,9.967e-05,9.967e-05,9.967e-05
3,65.6259,5.16196,6.64771,4.15282,0.00141,0.17647,0.00122,0.00054,4.56719,4.49304,4.15646,0.000158944,0.000158944,0.000158944
4,85.85,4.39914,5.99846,4.1929,0.00136,0.17647,0.00115,0.00048,4.56609,4.49338,4.15452,0.000217822,0.000217822,0.000217822
5,104.948,4.71359,5.46519,4.13729,0.00135,0.17647,0.00115,0.00051,4.56437,4.49238,4.15209,0.000276304,0.000276304,0.000276304
6,123.926,4.69268,6.24556,4.1068,0.00139,0.17647,0.00126,0.00052,4.56261,4.49047,4.14999,0.00033439,0.00033439,0.00033439
7,142.924,4.9003,5.38626,4.11322,0.00147,0.17647,0.00153,0.00073,4.55958,4.48748,4.14599,0.00039208,0.00039208,0.00039208
8,166.689,4.22047,5.17773,4.05487,0.00144,0.17647,0.00144,0.00072,4.55813,4.48583,4.1439,0.000449374,0.000449374,0.000449374
9,188.223,4.10645,5.52318,4.04481,0.00138,0.17647,0.00127,0.00065,4.55563,4.4827,4.14021,0.000506272,0.000506272,0.000506272
10,206.731,4.31865,5.20819,4.05883,0.0014,0.17647,0.00131,0.00066,4.55462,4.48163,4.13848,0.000562774,0.000562774,0.000562774
11,225.391,4.34593,5.59644,3.93715,0.00137,0.17647,0.00133,0.00064,4.55349,4.4752,4.1363,0.00061888,0.00061888,0.00061888
12,243.749,4.1748,4.59838,3.90321,0.00133,0.17647,0.0013,0.00063,4.55279,4.46877,4.13532,0.00067459,0.00067459,0.00067459
13,262.585,4.06083,4.6381,3.79837,0.00128,0.17647,0.00167,0.0006,4.55141,4.44806,4.13368,0.000729904,0.000729904,0.000729904
14,280.798,4.08245,4.60108,3.72105,0.00127,0.17647,0.0016,0.00056,4.55265,4.43557,4.13517,0.000784822,0.000784822,0.000784822
15,299.326,3.70746,4.6668,3.80305,0.00127,0.17647,0.00154,0.00051,4.55809,4.40956,4.14174,0.000839344,0.000839344,0.000839344
16,317.938,3.76402,4.62802,3.56082,0.00126,0.17647,0.00163,0.00052,4.56063,4.39344,4.14303,0.00089347,0.00089347,0.00089347
17,337.409,3.83797,4.56113,3.63017,0.00125,0.17647,0.00151,0.00056,4.56222,4.35269,4.1399,0.0009472,0.0009472,0.0009472
18,355.991,3.7092,4.36114,3.60173,0.00125,0.17647,0.00151,0.00052,4.59119,4.34838,4.17546,0.00100053,0.00100053,0.00100053
19,374.857,3.5834,4.08823,3.50623,0.00125,0.17647,0.00151,0.00057,4.63037,4.36365,4.23501,0.00105347,0.00105347,0.00105347
20,393.543,3.77783,4.03488,3.3861,0.00123,0.17647,0.00147,0.00054,4.71272,4.40911,4.31778,0.00110601,0.00110601,0.00110601
21,411.815,3.82369,3.82334,3.35661,0.00125,0.17647,0.00155,0.00057,4.79345,4.44822,4.39353,0.00115816,0.00115816,0.00115816
22,430.491,3.64678,4.088,3.3338,0.00129,0.17647,0.00173,0.00052,4.86283,4.48036,4.45864,0.00120991,0.00120991,0.00120991
23,449.155,3.41003,3.73705,3.26064,0.00157,0.17647,0.0015,0.00058,4.91028,4.50169,4.50589,0.00126126,0.00126126,0.00126126
24,469.452,3.53088,3.76747,3.28168,0.00163,0.17647,0.00131,0.00044,4.93382,4.58144,4.48045,0.00131222,0.00131222,0.00131222
25,492.743,3.58096,4.18449,3.26812,0.00163,0.17647,0.00131,0.00039,4.96043,4.60651,4.50711,0.00136278,0.00136278,0.00136278
26,510.912,3.60962,3.8603,3.18694,0.00162,0.17647,0.00131,0.00035,4.94379,4.64776,4.48744,0.00141295,0.00141295,0.00141295
